_name=Carrier
_uid=0
_timeDuration_sec=1
_numSamplePts=2000
_samplingFreq_Hz=2000
_isComplex=1
_carrierFreq_Hz =1000
# xR, xI
-0.867191,-0.497976
0.867186,0.497984
-0.86706,-0.498203
0.867056,0.498211
-0.86693,-0.498431
0.866925,0.498438
-0.866799,-0.498658
0.866673,0.498877
-0.866668,-0.498885
0.866542,0.499104
-0.866538,-0.499112
0.866411,0.499331
-0.866407,-0.499339
0.86628,0.499558
-0.866154,-0.499777
0.86615,0.499785
-0.866023,-0.500004
0.866019,0.500012
-0.865892,-0.500231
0.865888,0.500239
-0.865761,-0.500458
0.865634,0.500677
-0.86563,-0.500684
0.865503,0.500903
-0.865499,-0.500911
0.865372,0.50113
-0.865367,-0.501138
0.865241,0.501357
-0.865114,-0.501576
0.865109,0.501584
-0.864982,-0.501802
0.864978,0.50181
-0.864851,-0.502029
0.864846,0.502037
-0.864719,-0.502255
0.864715,0.502263
-0.864588,-0.502482
0.86446,0.502701
-0.864456,-0.502708
0.864329,0.502927
-0.864324,-0.502935
0.864197,0.503154
-0.864192,-0.503161
0.864065,0.50338
-0.863938,-0.503599
0.863933,0.503606
-0.863806,-0.503825
